Index,Ann Return,Ann Vol,Sharpe,Total Growth
Full Universe (EW),0.15395510128548712,0.27915478423169765,0.5515044340336465,9.127140116389663
Survivors Only (EW),0.21764700320987912,0.25756023127694744,0.8450334204578706,34.90758770423871
Full Universe (MCW),0.1950094234863023,0.23397438227425266,0.8334648502575053,25.25636975587249
Survivors Only (MCW),0.22288021057600357,0.25294566551174025,0.8811386829858873,39.54575061746363
