Regime,Days,Pct of Time,Avg Drawdown,Avg 20d Vol (ann),Avg CS Dispersion,Avg Daily Return
Trending,1311,28.5%,-0.133535419573484,0.1457835590366122,0.02032350855978344,0.00022001775199617527
Mean Reverting,1121,24.3%,-0.15243335901481866,0.14655482657306068,0.020200762425393568,0.0003362324550704436
Random Walk,2175,47.2%,-0.14390017072364025,0.2478857706101508,0.026125968363380485,0.0011612707362038852
